Modelo;Cor;Tam;Códico caixa grade;Descrição modelo;QTD PARES;CAIXA GRADE
4148261;555;178;7016226;BABY CLOG;1;BG1
4148261;555;190;7016226;BABY CLOG;3;BG1
4148261;555;212;7016226;BABY CLOG;4;BG1
4148261;555;234;7016226;BABY CLOG;2;BG1
4148261;555;256;7016226;BABY CLOG;2;BG1
4148261;6024;178;7016226;BABY CLOG;1;BG1
4148261;6024;190;7016226;BABY CLOG;3;BG1
4148261;6024;212;7016226;BABY CLOG;4;BG1
4148261;6024;234;7016226;BABY CLOG;2;BG1
4148261;6024;256;7016226;BABY CLOG;2;BG1
4148261;31;178;7016226;BABY CLOG;1;BG1
4148261;31;190;7016226;BABY CLOG;3;BG1
4148261;31;212;7016226;BABY CLOG;4;BG1
4148261;31;234;7016226;BABY CLOG;2;BG1
4148261;31;256;7016226;BABY CLOG;2;BG1
4148261;1766;178;7016226;BABY CLOG;1;BG1
4148261;1766;190;7016226;BABY CLOG;3;BG1
4148261;1766;212;7016226;BABY CLOG;4;BG1
4148261;1766;234;7016226;BABY CLOG;2;BG1
4148261;1766;256;7016226;BABY CLOG;2;BG1
4148261;1829;178;7016226;BABY CLOG;1;BG1
4148261;1829;190;7016226;BABY CLOG;3;BG1
4148261;1829;212;7016226;BABY CLOG;4;BG1
4148261;1829;234;7016226;BABY CLOG;2;BG1
4148261;1829;256;7016226;BABY CLOG;2;BG1
4148462;1749;178;7016299;BABY CLOG PEPPA PIG;1;BG1
4148462;1749;190;7016299;BABY CLOG PEPPA PIG;3;BG1
4148462;1749;212;7016299;BABY CLOG PEPPA PIG;4;BG1
4148462;1749;234;7016299;BABY CLOG PEPPA PIG;2;BG1
4148462;1749;256;7016299;BABY CLOG PEPPA PIG;2;BG1
4148462;1822;178;7016299;BABY CLOG PEPPA PIG;1;BG1
4148462;1822;190;7016299;BABY CLOG PEPPA PIG;3;BG1
4148462;1822;212;7016299;BABY CLOG PEPPA PIG;4;BG1
4148462;1822;234;7016299;BABY CLOG PEPPA PIG;2;BG1
4148462;1822;256;7016299;BABY CLOG PEPPA PIG;2;BG1
4148260;3936;234;7016237;KIDS CLOG;1;I0
4148260;3936;256;7016237;KIDS CLOG;2;I0
4148260;3936;278;7016237;KIDS CLOG;3;I0
4148260;3936;290;7016237;KIDS CLOG;3;I0
4148260;3936;312;7016237;KIDS CLOG;3;I0
4148260;3936;334;7016237;KIDS CLOG;Não recomenda;Não recomenda
4148260;3936;356;7016237;KIDS CLOG;Não recomenda;Não recomenda
4148260;3925;234;7016237;KIDS CLOG;1;I0
4148260;3925;256;7016237;KIDS CLOG;2;I0
4148260;3925;278;7016237;KIDS CLOG;3;I0
4148260;3925;290;7016237;KIDS CLOG;3;I0
4148260;3925;312;7016237;KIDS CLOG;3;I0
4148260;3925;334;7016237;KIDS CLOG;Não recomenda;Não recomenda
4148260;3925;356;7016237;KIDS CLOG;Não recomenda;Não recomenda
4148260;3577;234;7016237;KIDS CLOG;1;I0
4148260;3577;256;7016237;KIDS CLOG;2;I0
4148260;3577;278;7016237;KIDS CLOG;3;I0
4148260;3577;290;7016237;KIDS CLOG;3;I0
4148260;3577;312;7016237;KIDS CLOG;3;I0
4148260;3577;334;7016237;KIDS CLOG;Não recomenda;Não recomenda
4148260;3577;356;7016237;KIDS CLOG;Não recomenda;Não recomenda
4148260;3923;234;7016237;KIDS CLOG;1;I0
4148260;3923;256;7016237;KIDS CLOG;2;I0
4148260;3923;278;7016237;KIDS CLOG;3;I0
4148260;3923;290;7016237;KIDS CLOG;3;I0
4148260;3923;312;7016237;KIDS CLOG;3;I0
4148260;3923;334;7016237;KIDS CLOG;Não recomenda;Não recomenda
4148260;3923;356;7016237;KIDS CLOG;Não recomenda;Não recomenda
4148260;3929;234;7016237;KIDS CLOG;1;I0
