CATEGORIA;LINHA;FAMILIA;COD_MOD;COD_GRADE;DESC_MOD;COD_COR;DESC_COR;TAMANHO_ID;COLECAO;FABRICA_ORIGEM;NACIONALIDADE;MULTIPLO;EXCLUSIVO;DATA_LANCAMENTO;PRECO_ADULTO;PRECO_INFANTIL;COD_MOD_DE;COD_COR_DE;HERANCA;TIPO_PREVISAO;REDE_S|SE_COMPACTA;REDE_S|SE_QUIOSQUE;REDE_N|NE|CO_COMPACTA;REDE_N|NE|CO_QUIOSQUE;VOLUME_S|SE_FULL|COMPACTA;VOLUME_S|SE_QUIOSQUE;VOLUME_N|NE|CO_FULL|COMPACTA;VOLUME_N|NE|CO_QUIOSQUE;EXPERIENCIA;E-COMMERCE;CONCEPT;MORUMBI;LEBLON;CONCEPT_RIO;IGUATEMI;M0;M2;M3;M4;M39;M80;M81;M82;M83;M84;M85;M67;F0;F2;F80;F81;F82;F83;F84;F69;F70;J1;J2;J3;I0;I80;I81;I82;B0;B2;B80;B81;B82;HF1;F3;HF4;W11;W12;CS1;CS2;CS3;CS4
SANDÁLIAS;RASTEIRAS;CITY SANDALS;4147352;7014430;YOU RIO MYSTIC;121;BEGE PALHA;SA33/42;PRÉ VENDA;A022;NACIONAL;12;;;41,66;;-1;-1;;DEFAULT;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;RASTEIRAS;CITY SANDALS;4147352;7014430;YOU RIO MYSTIC;3498;CINZA;SA33/42;PRÉ VENDA;A022;NACIONAL;12;;;41,66;;-1;-1;;DEFAULT;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;RASTEIRAS;CITY SANDALS;4147537;-1;YOU PARATY FUN;7913;VERDE ÁGUA;SA33/42;PRÉ VENDA;A022;NACIONAL;12;;;27,08;;-1;-1;;DEFAULT;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;RASTEIRAS;CITY SANDALS;4147537;-1;YOU PARATY FUN;7598;AMARELA;SA33/42;PRÉ VENDA;A022;NACIONAL;12;;;27,08;;-1;-1;;DEFAULT;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;RASTEIRAS;CITY SANDALS;4147312;7014883;YOU MALTA METALLIC;90;BLACK;SA334/412;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-03-01;41,66;;4135102;74;2;DEFAULT;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;RASTEIRAS;CITY SANDALS;4147312;7014883;YOU MALTA METALLIC;3544;CROCUS ROSE;SA334/412;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-03-01;41,66;;4135102;5251;2;DEFAULT;X;;X;;X;;X;;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;RASTEIRAS;CITY SANDALS;4147312;7014883;YOU MALTA METALLIC;570;DOURADO;SA334/412;CARRY OVER;A022;NACIONAL;12;;2021-10-01;41,66;;4135102;9371;2;DEFAULT;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;RASTEIRAS;CITY SANDALS;4147312;7014883;YOU MALTA METALLIC;3498;CINZA GELO;SA334/412;PRÉ VENDA;A022;NACIONAL;12;;;41,66;;4135102;5037;2;DEFAULT;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;PROJETO ESPECIAL;4148151;7015076;TOP LEAGUE OF LEGENDS;3057;BRANCO/AZUL COMFY;SA356–456;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-06-01;25,00;;4146300;90;1;DEFAULT;X;X;X;X;X;X;X;X;X;X;x;x;x;x;x;;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;;X;X;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;PROJETO ESPECIAL;4148151;7015076;TOP LEAGUE OF LEGENDS;9194;BEGE PALHA/AMAZONIA;SA356–456;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-06-01;25,00;;4146300;3498;1;DEFAULT;X;X;X;X;X;X;X;X;X;X;x;x;x;x;x;;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;;X;X;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;PROJETO ESPECIAL;4141763;7011706;TOP HARRY POTTER;570;DOURADO;SA334/456;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-06-01;22,92;;4146366;89;1;DEFAULT;X;;X;;X;;;;X;X;x;x;x;x;x;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;PROJETO ESPECIAL;4141763;7011706;TOP HARRY POTTER;128;BRANCO/PRETO;SA334/456;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-06-01;22,92;;4146366;2197;1;DEFAULT;X;;X;;X;;;;X;X;x;x;x;x;x;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;PROJETO ESPECIAL;4146612;-1;TOP FOLIA CARNAVAL;7913;VERDE ÁGUA;SA334/456;PRÉ VENDA;A022;NACIONAL;12;;;33,33;;0;0;;DEFAULT;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;PROJETO ESPECIAL;4147559;7014545;TOP CONFETE CARNAVAL;89;AZUL INDIGO;SA334/456;PRÉ VENDA;A022;NACIONAL;12;;;22,91;;0;0;;DEFAULT;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;PROJETO ESPECIAL;4147287;7014350;SLIM SHINE BRANCO;1;BRANCO;SA334/456;PRÉ VENDA;A022;NACIONAL;12;;;33,33;;0;0;;DEFAULT;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;PROJETO ESPECIAL;4147287;7014350;SLIM SHINE BEGE PALHA;121;BEGE PALHA;SA334/456;PRÉ VENDA;A022;NACIONAL;12;;;33,33;;0;0;;DEFAULT;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
