Estado;Região
Acre;Norte
Pará;Norte
Rondônia;Norte
Roraima;Norte
Tocantins;Norte
Maranhão;Nordeste
Paraíba;Nordeste
Pernambuco;Nordeste
Piauí;Nordeste
Rio Grande Do Norte;Nordeste
Sergipe;Nordeste
Goiás;Centro-oeste
Mato Grosso Do Sul;Centro-oeste
Distrito Federal;Centro-oeste
Mato Grosso;Centro-oeste
Espírito Santo;Sudeste
Minas Gerais;Sudeste
Rio De Janeiro;Sudeste
São Paulo;Sudeste
Rio Grande Do Sul;Sul
Santa Catarina;Sul
Amazonas;Norte
Amapá;Norte
Alagoas;Nordeste
Bahia;Nordeste
Ceará;Nordeste
Paraná;Sul
